,URL,Journal,DOI,Date of Publication,First Author,Title,Abstract
0,https://ieeexplore.ieee.org/document/10081356,,10.1109/JBHI.2023.3261319,,,,
5,https://ieeexplore.ieee.org/document/8804188,IEEE Access,10.1109/ACCESS.2019.2935911,,,,
10,https://ieeexplore.ieee.org/document/10164211,,10.1109/JBHI.2023.3290014,,,,
15,https://ieeexplore.ieee.org/document/10185002,IEEE Access,10.1109/ACCESS.2023.3296221,,,,
20,https://ieeexplore.ieee.org/document/9585364,,10.1109/TCBB.2021.3122183,,,,
